Course,Group,VJ_Merit No,VJ_Merit Marks,NT-1_Merit No,NT-1_Merit Marks,NT-2_Merit No,NT-2_Merit Marks,NT-3_Merit No,NT-3_Merit Marks,OBC_Merit No,OBC_Merit Marks,SEBC_Merit No,SEBC_Merit Marks,OPEN_Merit No,OPEN_Merit Marks,SC_Merit No,SC_Merit Marks,ST_Merit No,ST_Merit Marks,DEF_Merit No,DEF_Merit Marks,TFWS_Merit No,TFWS_Merit Marks,EWS_Merit No,EWS_Merit Marks
Mech,G(General),136349,50.7016833,88893,71.6607627,89834,71.4842352,177063,25.2088452,105514,65.3084343,78825,75.4048881,74445,76.9322569,154010,40.6822054,Data not found,Data not found,133274,52.3622324,56003,83.1060395,171796,28.984931
Mech,L(Ledies),147689,44.2599775,153830,40.6822054,92076,70.6189283,Data not found,Data not found,97410,68.4702591,85698,73.1347962,78612,75.4048881,160408,36.226012,Data not found,Data not found,133274,52.3622324,56003,83.1060395,171796,28.984931
CSE,G(General),79469,75.210728,55474,83.3397246,44738,86.675963,74119,77.0149774,52268,84.3296195,46453,86.2041018,43336,87.1376478,92865,70.5005064,108416,63.6512871,59819,81.940403,32568,90.4253432,89669,71.5562808
CSE,L(Ledies),71097,78.3357644,40771,87.9289094,39865,88.188033,65789,79.9072027,38717,88.5573886,31233,90.8739909,42276,87.4115391,82901,73.7482517,Data not found,Data not found,59819,81.940403,32568,90.4253432,89669,71.5562808
RAI,G(General),87088,72.3760958,93475,70.2033567,71291,78.272232,95795,69.0979021,81961,74.0630785,69461,78.6137148,66597,79.7185003,152802,41.7471281,143884,47.0502678,185749,18.5475444,48232,85.6182564,146092,45.8266058
RAI,L(Ledies),Data not found,Data not found,145990,45.8266058,79357,75.2405919,Data not found,Data not found,79445,75.2405919,67797,79.3730892,66347,79.7946282,142436,47.3563218,Data not found,Data not found,185749,18.5475444,48232,85.6182564,146092,45.8266058
ELEC,G(General),130622,53.7591782,103217,66.1695365,82903,73.7482517,Data not found,Data not found,92073,70.6189283,74421,76.9322569,72269,77.9513058,138181,49.7291102,Data not found,Data not found,128352,54.5872518,56343,82.9717485,146497,45.3566434
ELEC,L(Ledies),107008,64.3871019,Data not found,Data not found,72183,78.010417,Data not found,Data not found,75293,76.8955509,73248,77.1631566,59654,81.9705913,126506,55.6405756,Data not found,Data not found,128352,54.5872518,56343,82.9717485,146497,45.3566434
CS IOT,G(General),95580,69.2179237,Data not found,Data not found,60001,81.8021201,Data not found,Data not found,66756,79.6986029,56492,82.9717485,56189,83.0707711,106378,64.713186,Data not found,Data not found,90759,71.173087,53725,83.880237,133083,52.5968356
CS IOT,L(Ledies),Data not found,Data not found,117843,59.9607019,68091,79.3004726,153298,41.4458186,62938,81.0133535,51263,84.6429815,51209,84.6429815,97656,68.4702591,Data not found,Data not found,90759,71.173087,53725,83.880237,133083,52.5968356
Aero,G(General),196375,8.7118703,77682,75.652265,96992,68.8687467,Data not found,Data not found,109378,63.4714222,81919,74.0630785,76793,76.2716859,130131,54.0903901,Data not found,Data not found,92532,70.5005064,63613,80.7175218,197585,7.4355245
Aero,L(Ledies),Data not found,Data not found,Data not found,Data not found,111649,62.8632493,112233,62.1365556,88469,71.8197195,82331,74.0094972,67042,79.6925092,161171,36.1161649,Data not found,Data not found,92532,70.5005064,63613,80.7175218,197585,7.4355245
AIDS,G(General),55971,83.1060395,46780,85.977536,44934,86.6751751,85022,73.4354379,109378,63.4714222,81919,74.0630785,76793,76.2716859,130131,54.0903901,Data not found,Data not found,92481,70.507201,29771,91.3015715,91934,70.6189283
AIDS,L(Ledies),52646,84.1437716,40926,87.9235179,35113,89.682715,77048,75.8001957,88469,71.8197195,82331,74.0094972,67042,79.6925092,161171,36.1161649,Data not found,Data not found,92481,70.507201,29771,91.3015715,91934,70.6189283
CIVIL,G(General),108028,63.8244514,170237,29.8059527,88151,71.8498844,140613,48.5587427,101869,66.4263323,86325,72.7429418,83677,73.6328536,144835,46.3957696,Data not found,Data not found,Data not found,Data not found,82151,74.0094972,192045,12.9554081
CIVIL,L(Ledies),Data not found,Data not found,Data not found,Data not found,123397,57.4017459,Data not found,Data not found,93796,69.8941051,82886,73.7482517,69681,78.6137148,87753,72.102802,Data not found,Data not found,Data not found,Data not found,82151,74.0094972,192045,12.9554081
Food,G(General),111550,65.6692751,Data not found,Data not found,44154,87.898058,Data not found,Data not found,49375,86.3441009,40077,88.9775698,38139,89.5355262,86462,75.0962596,Data not found,Data not found,Data not found,Data not found,17985,0,126918,59.0974179
Food,L(Ledies),Data not found,Data not found,Data not found,Data not found,Data not found,Data not found,Data not found,Data not found,43083,88.1325633,25616,93.077885,24721,93.2825774,59582,83.2555776,Data not found,Data not found,Data not found,Data not found,17985,0,126918,59.0974179
